Nom station de métro,Temps vers station suivante (min)
Nation,0
Picpus,2
Bel-Air,2
Daumesnil,2
Dugommier,2
Bercy,2
Quai de la Gare,2
Chevaleret,2
Nationale,2
Place d'Italie,2
Corvisart,2
Glacière,2
Saint-Jacques,2
Denfert-Rochereau,2
Raspail,2
Edgar Quinet,2
Montparnasse - Bienvenüe,2
Pasteur,2
Sèvres - Lecourbe,2
Cambronne,2
La Motte-Picquet - Grenelle,2
Dupleix,2
Bir-Hakeim,2
Passy,2
Trocadéro,2
Boissière,2
Kléber,2
Charles de Gaulle - Étoile,2
