Nom station de métro,Temps vers station suivante (min)
Michel-Ange - Molitor,2
Michel-Ange - Auteuil,2
Église d'Auteuil,2
Mirabeau,2
Javel - André Citroën,2
Charles Michels,2
Avenue Émile Zola,2
La Motte-Picquet - Grenelle,2
Ségur,2
Duroc,2
Vaneau,2
Sèvres - Babylone,2
Mabillon,2
Odéon,2
Cluny - La Sorbonne,2
Maubert - Mutualité,2
Cardinal Lemoine,2
Jussieu,2
Gare d'Austerlitz,0
