Nom station de métro,Temps vers station suivante (min)
Porte de Clichy,2
Pont Cardinet,2
Saint-Lazare,2
Madeleine,2
Pyramides,2
Châtelet,2
Gare de Lyon,2
Bercy,2
Cour Saint-Émilion,2
Bibliothèque François Mitterrand,2
Olympiades,0
