Nom station de métro,Temps vers station suivante (min)
Châtelet,2
Hôtel de Ville,2
Rambuteau,2
Arts et Métiers,2
République,2
Goncourt,2
Belleville,2
Pyrénées,2
Jourdain,2
Place des Fêtes,2
Télégraphe,2
Porte des Lilas,0
