Nom station de métro,Temps vers station suivante (min)
Olympiades,2
Bibliothèque François Mitterrand,2
Cour Saint-Émilion,2
Bercy,2
Gare de Lyon,2
Châtelet,2
Pyramides,2
Madeleine,2
Saint-Lazare,2
Pont Cardinet,2
Porte de Clichy,0
